incident_id,incident_type,severity,risk_score,transaction_count,customer_count,device_count,ip_count,estimated_exposure,recommended_action,priority,action_title,explanation,next_steps,root_causes
INC-0011,NEW_ACCOUNT_ATTACK,CRITICAL,100,73,25,25,25,1027263.31,HOLD_AND_INVESTIGATE,P0,Hold affected transactions,The incident has critical risk indicators and requires immediate merchant investigation.,"[""Prioritize financial exposure review"", ""Review incident-level transaction cluster"", ""Hold affected transactions"", ""Review linked customer accounts"", ""Review shared device and IP evidence"", ""Create a fraud investigation case"", ""Escalate to fraud operations""]","[""Suspicious activity is concentrated among newly created accounts."", ""Multiple transactions share one or more devices."", ""Multiple transactions share one or more IP addresses."", ""Multiple transactions are linked through shared addresses."", ""25 customer accounts are linked to this incident."", ""Transaction velocity exceeds normal behavioral levels."", ""A large proportion of transactions are labeled fraudulent in the synthetic evaluation dataset.""]"
INC-0012,REFUND_ABUSE,HIGH,80,10,8,8,8,148723.25,STEP_UP_VERIFICATION,P1,Require additional verification,The incident has strong risk indicators. Additional verification is recommended before allowing further high-risk activity.,"[""Require step-up verification"", ""Monitor linked transactions"", ""Review customer and device history"", ""Create investigation case if activity continues""]","[""Refund activity indicates possible abuse of the transaction lifecycle."", ""Multiple transactions share one or more devices."", ""Multiple transactions share one or more IP addresses."", ""Multiple transactions are linked through shared addresses."", ""8 customer accounts are linked to this incident."", ""Transaction velocity exceeds normal behavioral levels."", ""A large proportion of transactions are labeled fraudulent in the synthetic evaluation dataset.""]"
INC-0013,REFUND_ABUSE,HIGH,100,31,21,21,21,577463.56,HOLD_AND_INVESTIGATE,P0,Hold affected transactions,The incident has critical risk indicators and requires immediate merchant investigation.,"[""Prioritize financial exposure review"", ""Review incident-level transaction cluster"", ""Hold affected transactions"", ""Review linked customer accounts"", ""Review shared device and IP evidence"", ""Create a fraud investigation case"", ""Escalate to fraud operations""]","[""Refund activity indicates possible abuse of the transaction lifecycle."", ""Multiple transactions share one or more devices."", ""Multiple transactions share one or more IP addresses."", ""Multiple transactions are linked through shared addresses."", ""21 customer accounts are linked to this incident."", ""Transaction velocity exceeds normal behavioral levels."", ""A large proportion of transactions are labeled fraudulent in the synthetic evaluation dataset.""]"
INC-0014,ACCOUNT_TAKEOVER,MEDIUM,100,60,24,1,1,2256429.82,HOLD_AND_INVESTIGATE,P0,Hold affected transactions,The incident has critical risk indicators and requires immediate merchant investigation.,"[""Prioritize financial exposure review"", ""Review incident-level transaction cluster"", ""Hold affected transactions"", ""Review linked customer accounts"", ""Review shared device and IP evidence"", ""Create a fraud investigation case"", ""Escalate to fraud operations""]","[""Account behavior indicates possible unauthorized account access."", ""Multiple transactions share one or more devices."", ""Multiple transactions share one or more IP addresses."", ""Multiple transactions are linked through shared addresses."", ""24 customer accounts are linked to this incident."", ""Transaction velocity exceeds normal behavioral levels."", ""A large proportion of transactions are labeled fraudulent in the synthetic evaluation dataset.""]"
INC-0015,REFUND_ABUSE,HIGH,70,4,4,4,4,75010.33,STEP_UP_VERIFICATION,P1,Require additional verification,The incident has strong risk indicators. Additional verification is recommended before allowing further high-risk activity.,"[""Require step-up verification"", ""Monitor linked transactions"", ""Review customer and device history"", ""Create investigation case if activity continues""]","[""Refund activity indicates possible abuse of the transaction lifecycle."", ""A large proportion of transactions are labeled fraudulent in the synthetic evaluation dataset.""]"
INC-0016,GEOGRAPHIC_ANOMALY,LOW,95,12,11,11,11,282567.05,HOLD_AND_INVESTIGATE,P0,Hold affected transactions,The incident has critical risk indicators and requires immediate merchant investigation.,"[""Hold affected transactions"", ""Review linked customer accounts"", ""Review shared device and IP evidence"", ""Create a fraud investigation case"", ""Escalate to fraud operations""]","[""Transaction locations differ from expected geographic behavior."", ""Multiple transactions share one or more devices."", ""Multiple transactions share one or more IP addresses."", ""Multiple transactions are linked through shared addresses."", ""11 customer accounts are linked to this incident."", ""Transaction velocity exceeds normal behavioral levels."", ""A large proportion of transactions are labeled fraudulent in the synthetic evaluation dataset.""]"
INC-0017,COORDINATED_ACCOUNT_ABUSE,CRITICAL,100,68,23,1,1,1003855.57,HOLD_AND_INVESTIGATE,P0,Hold affected transactions,The incident has critical risk indicators and requires immediate merchant investigation.,"[""Prioritize financial exposure review"", ""Review incident-level transaction cluster"", ""Hold affected transactions"", ""Review linked customer accounts"", ""Review shared device and IP evidence"", ""Create a fraud investigation case"", ""Escalate to fraud operations""]","[""Multiple customer accounts exhibit coordinated transaction behavior."", ""Multiple transactions share one or more devices."", ""Multiple transactions share one or more IP addresses."", ""Multiple transactions are linked through shared addresses."", ""23 customer accounts are linked to this incident."", ""Transaction velocity exceeds normal behavioral levels."", ""A large proportion of transactions are labeled fraudulent in the synthetic evaluation dataset.""]"
INC-0018,PAYMENT_VELOCITY_ATTACK,MEDIUM,65,4,4,4,4,106352.27,MONITOR,P2,Increase monitoring,The incident contains suspicious signals but does not currently justify an automatic hold.,"[""Continue monitoring"", ""Increase scrutiny on related transactions"", ""Review if additional suspicious activity appears""]","[""Transactions occurred at unusually high velocity."", ""A large proportion of transactions are labeled fraudulent in the synthetic evaluation dataset.""]"
INC-0019,GEOGRAPHIC_ANOMALY,HIGH,80,12,8,8,8,220993.08,STEP_UP_VERIFICATION,P1,Require additional verification,The incident has strong risk indicators. Additional verification is recommended before allowing further high-risk activity.,"[""Require step-up verification"", ""Monitor linked transactions"", ""Review customer and device history"", ""Create investigation case if activity continues""]","[""Transaction locations differ from expected geographic behavior."", ""Multiple transactions share one or more devices."", ""Multiple transactions share one or more IP addresses."", ""Multiple transactions are linked through shared addresses."", ""8 customer accounts are linked to this incident."", ""Transaction velocity exceeds normal behavioral levels."", ""A large proportion of transactions are labeled fraudulent in the synthetic evaluation dataset.""]"
INC-0020,REFUND_ABUSE,CRITICAL,80,14,12,12,12,275896.75,HOLD_AND_INVESTIGATE,P0,Hold affected transactions,The incident has critical risk indicators and requires immediate merchant investigation.,"[""Hold affected transactions"", ""Review linked customer accounts"", ""Review shared device and IP evidence"", ""Create a fraud investigation case"", ""Escalate to fraud operations""]","[""Refund activity indicates possible abuse of the transaction lifecycle."", ""Multiple transactions share one or more devices."", ""Multiple transactions share one or more IP addresses."", ""Multiple transactions are linked through shared addresses."", ""12 customer accounts are linked to this incident."", ""Transaction velocity exceeds normal behavioral levels."", ""A large proportion of transactions are labeled fraudulent in the synthetic evaluation dataset.""]"
